,Ticker,Date,Asset Turnover,Current Ratio,Debt/Assets,Debt/Equity,Dividend Coverage Ratio,Dividend Payout Ratio,EBITDA Margin,EBITDA Y/Y,EPS Y/Y,EV/EBITDA,EV/FCF,EV/Revenue,Earnings Retention Rate,FCF Yield,Gross Profit Margin,Interest Coverage Ratio,Net Profit Margin,Operating Profit Y/Y,PE,PEG,Price/Book,Price/Sales,Quick Ratio,ROA,ROE,ROIC,Reinvestment Rate,Revenue Y/Y,Working Capital/Assets
1659,RNG,2017-12-31,1.64461672351549,2.11489,0.0,0.0,,0.0,2.15958,4.937,-2.713,327.570317248989,250.04595524986,7.07413524642734,1.0,0.385915451146755,75.91999,-53.91919,5.76827,-0.585,127.090827928472,0.468401273929147,16.5442935860098,7.33096857334045,2.11331,9.48659712005852,16.2115255296649,,16.2115255296649,0.324,0.38798
1660,RNG,2018-12-31,1.07424051541295,3.54894,40.9864,115.40983,,,1.01897,-0.369,-1.865,935.732772319347,424.905381661815,9.53479945667019,,0.230638482265738,76.67408,-1.09166,-3.88986,2.079,,,21.036622708529,9.72943363063074,3.54795,-4.17864034318338,-9.5989596212142,,-9.5989596212142,0.338,0.5682
1661,RNG,2019-12-31,0.770004174710126,1.90778,26.66826,51.88266,,,-0.86115,-2.133,0.956,,,15.7278113085668,,-0.488584093964991,74.40982,-2.39199,-5.93748,1.779,,,19.6649026898024,15.5301687530043,1.90635,-4.57188326333551,-10.0830520573041,,-10.0830520573041,0.34,0.17565
1662,ROK,2016-09-30,0.870656527887812,2.11802,28.67966,102.33657,192.755156002115,51.8792866941015,20.47793,-0.099,-0.087,12.8224293445349,34.14021435387,2.6257683358823,0.481207133058985,5.17745308961895,42.10392,12.08197,12.41092,-0.121,21.7121621117979,-2.51553555478455,7.89944702579427,2.72791461859002,1.85151,10.805647902028,34.330923732605,20.4454064718863,16.5202853846335,-0.068,0.31109
1663,ROK,2017-09-30,0.884995337554074,2.06016,25.74528,69.22211,211.108267212695,47.3690591658584,20.97349,0.099,0.142,16.7584731385359,44.2248622278309,3.51483702145041,0.526309408341416,3.8545143931749,42.2718,15.15486,13.08288,0.119,26.1398889630439,1.97841495785742,8.59069008486566,3.66794147006164,1.79979,11.5782905299764,35.4470636267916,20.7719625717639,18.6561230848572,0.073,0.31765
1664,ROK,2018-09-30,0.993168798468381,1.26546,28.36474,109.81144,243.489110707804,41.069598434734,24.51245,0.234,0.332,14.6648551007099,32.6596336848303,3.59471545672967,0.58930401565266,4.93564374409992,43.27783,20.12877,16.10861,0.272,20.4558495308201,0.667708658990255,14.0393644252748,3.569800180018,1.00545,15.9985696938996,50.1413188199295,15.0460686406424,29.5484805307047,0.056,0.09483
1665,ROK,2019-09-30,1.08198787878788,1.54156,36.91968,558.3622,151.174423662462,66.1487555747375,11.52835,-0.528,-0.311,26.5376510391293,34.7501850559891,3.05935338949633,0.338512444252626,5.33655059041822,43.3187,6.30957,10.39314,-0.578,60.1978346312883,-0.909140592221993,47.1730518216584,2.93670311286372,1.24432,11.2452525252525,68.7639115595786,25.4883811099468,23.2774397784043,0.004,0.17159
1666,ROK,2020-09-30,0.946321116484896,1.48321,27.52075,148.44817,216.243654822335,46.2441314553991,19.79367,0.623,0.505,21.7133770108389,50.9642001814912,4.29787513932194,0.537558685446009,3.91196896167809,40.99972,10.43671,16.16481,0.743,29.6272826621056,0.498439393316786,24.9494352233838,4.0651028468514,1.1607,15.2970989033989,142.793296089385,37.1758783395319,76.7597765363128,-0.055,0.12045
1667,ROKU,2015-12-26,,2.15671,14.66084,48.42078,,,-10.94145,,,,,,,,28.06817,-53.95402,-12.69661,,,,,,1.76034,,,,,,0.50115
1668,ROKU,2016-12-31,2.24218971902955,1.41814,13.95481,129.10725,,,-9.46672,0.078,0.053,,,,,,30.3638,,-10.72573,0.146,,,,,1.04418,-24.0491128803197,,,,0.246,0.27203
1669,ROKU,2017-12-31,1.86129316212169,2.11271,0.0,0.0,,,-2.78491,-0.622,0.419,,174.183908039768,9.53290898781698,,0.546573625707199,38.97181,-12.16873,-12.38564,-0.544,,,33.7173033971258,10.0131044166603,1.91217,-23.0533145787014,,,,0.286,0.48847
1670,ROKU,2018-12-31,1.77443260436806,2.23158,0.0,0.0,,,-0.66087,-0.656,-0.868,,,4.23847600541948,,-0.137420251331376,44.73338,-38.42775,-1.19285,-0.322,,,13.7474930118406,4.31713079759625,2.04815,-2.1166360375388,-4.46275161867332,,-4.46275161867332,0.448,0.51383
